id,age_admin
1,
2,
3,
5,
6,
7,
8,54
9,64
10,34
11,1976
12,1978
13,49
14,27
15,28
16,34
17,44
18,37
19,30
20,1979
22,37
23,59
24,57
25,1977
26,59
27,59
28,54
29,34
30,26
31,59
32,1970
33,77
34,59
35,1990
36,1976
37,59
38,26
39,20
40,69
41,49
42,1982
43,32
44,54
45,44
46,59
47,1986
48,
49,
50,
51,
52,
53,
54,
55,
56,29
57,29
58,27
59,39
60,38
62,59
63,23
64,41
65,1989
66,19
67,1974
68,19
69,39
70,34
71,44
73,54
74,41
75,59
76,29
77,54
78,34
79,37
80,64
81,
82,
83,
84,
85,
86,
87,
88,
91,
92,
93,
94,
95,
96,17
97,29
98,66
99,39
100,79
101,31
102,34
103,1975
104,37
105,59
106,1970
107,1983
108,1970
109,54
110,34
111,71
112,1978
113,24
114,25
115,24
116,59
117,59
118,1988
119,44
120,1979
121,29
122,49
123,59
124,37
125,79
126,53
127,29
128,44
129,69
130,47
131,49
132,21
133,72
134,45
135,25
136,21
137,1972
138,1990
139,31
140,1987
141,1987
142,34
143,31
144,36
145,29
146,1979
147,41
148,42
149,49
150,44
151,44
153,59
154,44
155,24
157,34
158,1972
159,74
160,21
161,41
162,29
163,17
164,49
165,32
166,59
167,44
168,21
169,39
170,49
171,37
172,35
173,34
174,1982
175,27
176,29
177,51
178,39
179,47
180,39
181,22
182,1974
183,1981
184,34
185,36
186,1981
187,21
188,59
189,33
190,31
191,47
192,1988
193,31
194,
195,34
196,1986
197,1985
198,1985
199,24
200,34
201,1981
202,44
203,69
204,29
205,27
206,48
207,25
208,1980
209,29
210,23
211,44
212,29
213,26
214,49
215,74
216,1990
218,29
219,29
220,1975
221,64
223,1973
224,1988
225,37
226,57
227,31
228,74
229,22
230,18
231,34
232,49
233,49
234,39
235,34
236,44
237,1990
238,28
239,34
240,1981
242,29
243,59
244,36
245,49
246,27
248,35
249,59
250,21
251,1985
252,39
253,27
254,29
255,39
256,39
257,1980
258,27
259,34
260,34
261,24
262,25
263,1984
264,1977
265,52
267,44
268,1986
269,1986
270,1981
271,71
272,59
273,1985
274,37
275,1981
276,44
277,42
278,41
279,1979
280,29
281,34
282,1980
283,67
284,75
285,39
286,44
287,56
288,1971
289,1976
290,77
291,47
292,62
293,69
294,59
295,50
296,1984
297,44
298,34
299,27
300,29
301,74
302,59
303,57
304,24
305,44
306,34
307,21
308,35
309,64
310,22
311,17
312,54
313,49
314,38
315,18
317,64
318,21
319,52
320,29
321,50
322,31
323,54
324,29
325,37
326,61
327,49
328,74
329,47
330,53
331,1974
332,85
333,67
334,59
335,28
336,27
337,49
340,1985
341,1974
342,53
343,29
344,32
345,44
346,34
347,69
348,64
349,29
351,62
352,52
353,41
354,44
355,34
356,54
357,89
358,34
360,19
361,75
362,41
363,34
364,24
365,69
366,27
367,24
368,65
369,49
370,34
371,44
372,34
373,52
374,37
375,
376,48
377,34
378,64
379,78
380,1985
381,69
382,64
383,47
384,34
385,49
386,54
387,1977
388,26
389,44
390,21
391,42
392,26
393,29
394,79
395,21
396,34
397,34
398,64
400,44
401,1983
402,67
403,44
404,33
405,39
406,31
407,35
408,34
409,1973
411,79
412,54
413,29
415,20
416,69
417,24
418,59
419,51
420,59
421,59
422,27
423,24
424,61
425,24
426,28
427,49
428,1978
429,23
430,36
431,20
432,1981
433,66
435,39
436,39
437,44
438,39
440,39
441,1988
442,24
443,29
445,34
446,65
447,74
448,59
449,51
450,41
451,1986
452,67
453,49
454,64
455,46
456,54
457,39
458,44
459,69
461,69
462,50
463,44
464,77
465,24
466,31
