id,income_admin
1,1609
2,
3,
5,
6,
7,
8,
9,1188
10,2456
11,1429
12,4102
20,3785
22,2858
28,2340
13,1312
14,2538
15,1404
16,2492
17,1826
18,831
19,2380
20,3785
22,2858
23,2290
24,
25,
26,
27,
28,2340
29,2567
30,1838
31,3330
32,2807
33,479
34,2165
35,2560
36,3866
37,2186
38,1994
39,1153
40,1282
41,2727
42,1675
43,2754
44,3717
45,2353
46,1485
47,1916
48,2109
49,3405
50,1450
51,4361
52,3531
53,2047
54,1013
55,3596
56,1760
57,1154
58,1753
59,1924
60,2773
62,3490
63,3966
64,2342
65,1986
66,2437
67,3598
68,2515
69,3256
70,347
71,1958
73,3054
74,2866
75,3363
76,3241
77,2068
78,2913
79,4294
80,2343
81,2449
82,3215
83,1313
84,4105
85,1546
86,3498
87,2504
88,2320
91,3712
92,2371
93,2359
94,1652
95,2364
96,1535
97,3412
98,1840
99,2695
100,2092
101,2793
102,2455
103,2596
104,1613
105,3468
106,4590
107,2172
108,2704
109,1016
110,2914
111,2807
112,1645
113,897
114,2838
115,2555
116,2936
117,3200
118,3341
119,1936
120,2243
121,2085
122,2666
123,2510
124,1953
125,1940
126,657
127,3194
128,1749
129,2539
130,2283
131,1237
132,1171
133,2310
134,2056
135,794
136,2017
137,3079
138,4612
139,2646
140,1870
141,3204
142,2707
143,1724
144,1905
145,2936
146,3653
147,2376
148,4223
149,1666
150,1142
151,1460
153,2366
154,1984
155,2426
157,2536
158,282
159,2088
160,4870
161,2282
162,1342
163,2239
164,1957
165,829
166,1585
167,3580
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,794
178,1541
179,1257
180,3226
181,371
182,2869
183,3823
184,-1040
185,3388
186,2771
187,2105
188,1739
189,3264
190,3365
191,3894
192,2618
193,1646
194,3197
195,1980
196,3697
197,1636
198,3519
199,1838
200,2548
201,1694
202,2953
203,1051
204,1796
205,657
206,3135
207,2535
208,1553
209,1968
210,3337
211,1920
212,1558
213,3351
214,1991
215,1540
216,1690
218,2493
219,2989
220,4930
221,1754
223,992
224,2110
225,4034
226,4487
227,2161
228,1832
229,3636
230,3079
231,785
232,1822
233,2074
234,2037
235,3033
236,2585
237,2381
238,2169
239,2840
240,1997
242,3126
243,2276
244,3846
245,1685
246,1739
248,2850
249,1792
250,2246
251,4294
252,3279
253,-28
254,1332
255,1561
256,1180
257,2616
258,3137
259,1470
260,2749
261,2969
262,4685
263,799
264,2646
265,3143
267,1485
268,3293
269,1877
270,495
271,2423
272,3507
273,2498
274,2374
275,2547
276,1928
277,2823
278,2942
279,2005
280,2126
281,3611
282,1540
283,2230
284,535
285,2276
286,2711
287,2187
288,1834
289,3450
290,2731
291,1812
292,2840
293,2870
294,2128
295,2389
296,3483
297,2434
298,1356
299,753
300,1678
301,1090
302,4019
303,1520
304,2296
305,878
306,1683
307,2058
308,2581
309,1636
310,3024
311,3471
312,1469
313,6063
314,4039
315,2355
317,2175
318,3597
319,3279
320,3842
321,2667
322,1843
323,3127
324,2832
325,878
326,3224
327,3545
328,2148
329,3716
330,2546
331,2256
332,1869
333,1672
334,3737
335,1640
336,973
337,502
340,3056
341,1075
342,2218
343,1207
344,1035
345,2930
346,1611
347,2722
348,2843
349,4060
351,517
352,2038
353,2032
354,3732
355,3942
356,1416
357,3766
358,3146
360,3092
361,4546
362,4194
363,3375
364,2620
365,2281
366,4044
367,3594
368,605
369,66
370,2296
371,2371
372,2301
373,5392
374,1740
375,2253
376,2542
377,369
378,3203
379,4160
380,3501
381,2989
382,1351
383,3133
384,2190
385,1646
386,2065
387,2705
388,3393
389,757
390,3729
391,2349
392,1784
393,2328
394,2045
395,1855
396,3156
397,3690
398,1587
400,2370
401,3125
402,2142
403,2373
404,3515
405,2776
406,3021
407,215
408,4276
409,2817
411,2372
412,1120
413,1721
415,4027
416,2031
417,2146
418,2996
419,2405
420,2685
421,2667
422,1946
423,2315
424,2820
425,3159
426,1196
427,1134
428,3788
429,1969
430,1910
431,2013
432,3064
433,2835
435,2400
436,1526
437,1514
438,2397
440,3804
441,3775
442,2984
443,3343
445,207
446,3271
447,3189
448,4635
449,2078
450,1942
451,2817
452,1546
453,2123
454,262
455,2709
456,308
457,3001
458,2235
459,3261
461,3060
462,2822
463,5107
464,2816
465,3929
466,2318
467,1332
468,3338
469,1893
470,1288
471,1930
472,725
473,2333
474,4090
475,2733
476,1798
477,2082
478,3170
479,1835
481,1444
482,2841
483,1702
484,2503
485,3580
486,3375
487,4324
489,1828
490,-352
491,1651
492,821
493,-101
494,2142
495,1937
496,1737
497,1761
498,2209
499,2874
500,1449
501,2063
502,2273
503,1028
504,4764
505,3313
506,1678
507,3884
508,1874
509,2839
510,2308
511,2328
512,2368
513,2969
514,4852
515,3142
517,2323
518,650
519,955
520,3602
522,3012
523,1235
524,2004
525,3099
526,1503
527,3187
528,1266
529,1821
530,2896
531,3912
532,1859
533,2357
534,2639
535,4266
536,2077
537,2913
538,3746
539,2194
540,776
541,3595
542,970
543,4776
544,3387
545,2732
546,2711
547,2685
548,2480
550,4023
551,999
552,2641
553,5026
554,1119
555,1799
556,3338
557,2103
558,2115
559,3863
560,649
561,3821
562,3422
563,2425
